[00:38:10] === belgium ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== belgium ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
wrote 125108 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
pre-filter (--only-wikidata): 125108 -> 1005 rows

1005 polygons with wikidata=*
  matched:           223
  no en sitelink:    706
  no sitelinks:      76
  Q42432476 (belgium/way/94706972) -> no_sitelinks: (no article)  [body: 0 chars]
  Q46009336 (belgium/way/94878698) -> no_sitelinks: (no article)  [body: 0 chars]
  Q108139364 (belgium/way/95721308) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3011553 (belgium/way/95977392) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13427644 (belgium/way/97494162) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2681638 (belgium/way/98352850) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2488822 (belgium/way/100007116) -> matched: Zwartberg Airfield  [body: 401 chars]
  Q2618912 (belgium/way/100007940) -> matched: Grimbergen Airfield  [body: 1436 chars]
  Q2345535 (belgium/way/100008020) -> matched: Kiewit Airfield  [body: 1294 chars]
  Q470432 (belgium/way/100172730) -> matched: Lake Bütgenbach  [body: 453 chars]
  Q1716059 (belgium/way/102441326) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q42309540 (belgium/way/102541248) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1432908 (belgium/way/105958462) -> matched: Supreme Headquarters Allied Powers Europe  [body: 27570 chars]
  Q19952146 (belgium/way/107085442) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2820645 (belgium/way/108868614) -> matched: Brecht Abbey  [body: 3473 chars]
  Q320702 (belgium/way/109499062) -> matched: Lake Robertville  [body: 420 chars]
  Q2782682 (belgium/way/109855754) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2390760 (belgium/way/110544624) -> matched: Lake Neufchâteau  [body: 159 chars]
  Q2482604 (belgium/way/110769274) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1867247 (belgium/way/113697942) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q91272206 (belgium/way/116265160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1431012 (belgium/way/126446314) -> matched: Brussels South Charleroi Airport  [body: 8284 chars]
  Q17386761 (belgium/way/132457972) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21770595 (belgium/way/133174694) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1369505 (belgium/relation/8869567) -> matched: Gileppe Dam  [body: 8505 chars]
  Q17373262 (belgium/way/133670894) -> matched: Lake Gileppe  [body: 416 chars]
  Q2460572 (belgium/way/134001434) -> matched: Groot Park  [body: 2284 chars]
  Q24939822 (belgium/way/137705460) -> matched: European School, Brussels IV  [body: 1114 chars]
  Q24088022 (belgium/way/139471924) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3363894 (belgium/relation/27994445) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19529136 (belgium/way/143721122) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q22343251 (belgium/way/144006196) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63333267 (belgium/way/144881488) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2786449 (belgium/way/147647584) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24930746 (belgium/way/150092042) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106435401 (belgium/way/150272994) -> no_sitelinks: (no article)  [body: 0 chars]
  Q42344271 (belgium/way/157218642) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q108309514 (belgium/way/160696580) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31837952 (belgium/relation/8970227) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21771863 (belgium/way/160884444) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q46445889 (belgium/way/168772656) -> no_sitelinks: (no article)  [body: 0 chars]
  Q50209380 (belgium/way/172694384) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2225558 (belgium/way/173145794) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q52637885 (belgium/way/175059102) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2367229 (belgium/way/175065072) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4305548 (belgium/way/175151060) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2481117 (belgium/way/175185980) -> matched: Bruges–Ostend Canal  [body: 479 chars]
  Q41992492 (belgium/way/175292362) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33525923 (belgium/way/175292364) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q41989649 (belgium/way/175293692) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q38555231 (belgium/way/175293696) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33525743 (belgium/way/175294970) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2054978 (belgium/way/175321174) -> no_lang_sitelink: (no article)  [body: 0 chars]
